# Logfile created on 2026-03-28 22:48:10 +0100 by logger.rb/v1.4.3
2026-03-28 22:48:10 +0100: Memory Usage (438112K) : metal5_diffprb has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (438112K) : radhard_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (438240K) : memcap_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (438240K) : varicap_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (438368K) : flash_drw has 0 polygons
2026-03-28 22:48:10 +0100: Memory Usage (438368K) : intbondvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438496K) : intbondmet_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438496K) : devbondvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438496K) : devbondmet_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438624K) : devtrench_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438624K) : redist_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438752K) : graphbot_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438752K) : graphtop_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438752K) : antvia1_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438880K) : antmetal2_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (438880K) : graphcont_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439008K) : siwg_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439008K) : siwg_filler has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439008K) : siwg_nofill has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439136K) : sigrating_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439136K) : singrating_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439264K) : graphpas_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439264K) : emwind3_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439392K) : emwihv3_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439392K) : redbulay_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439392K) : smos_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439520K) : graphpad_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439520K) : polimide_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439648K) : polimide_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439648K) : recog_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439648K) : recog_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439776K) : recog_esd has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439776K) : recog_diode has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439904K) : recog_tsv has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (439904K) : recog_iprobe has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440032K) : recog_diffprb has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440032K) : recog_pillar has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440032K) : recog_sbump has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440160K) : recog_otp has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440160K) : recog_pdiode has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440288K) : recog_mom has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440288K) : recog_pcm has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440288K) : colopen_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440416K) : graphmetal1_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440416K) : graphmetal1_filler has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440544K) : graphmetal1_nofill has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440544K) : graphmetal1_slit has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440672K) : graphmetal1_opc has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440672K) : graphmet1l_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440672K) : graphmet1l_filler has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440800K) : graphmet1l_nofill has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440800K) : graphmet1l_slit has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440928K) : graphmet1l_opc has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440928K) : extblock_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (440928K) : nldd_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441056K) : pldd_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441056K) : next_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441184K) : pext_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441184K) : nexthv_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441184K) : pexthv_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441312K) : graphgate_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441312K) : sinwg_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441440K) : sinwg_filler has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441440K) : sinwg_nofill has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441440K) : mempad_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441568K) : topvia1_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441568K) : topmetal1_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441696K) : topmetal1_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441696K) : topmetal1_mask has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441696K) : topmetal1_filler has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441824K) : topmetal1_nofill has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441824K) : topmetal1_slit has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441952K) : topmetal1_text has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (441952K) : topmetal1_noqrc has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442080K) : topmetal1_res has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442080K) : topmetal1_iprobe has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442080K) : topmetal1_diffprb has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442208K) : inldpwl_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442208K) : polyres_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442336K) : polyres_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442336K) : vmim_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442336K) : nbulaycut_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442464K) : antmetal1_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442464K) : topvia2_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442592K) : topmetal2_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442592K) : topmetal2_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442592K) : topmetal2_mask has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442592K) : topmetal2_filler has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_nofill has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_slit has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_text has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_noqrc has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_res has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_iprobe has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442720K) : topmetal2_diffprb has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442848K) : snsring_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442848K) : sensor_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442976K) : snsarms_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442976K) : snscmosvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (442976K) : colwind_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443104K) : flm_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443104K) : hafniumox_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443232K) : memvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443232K) : thinfilmres_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443232K) : rfmem_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443360K) : norcx_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443360K) : norcx_m2m3 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443488K) : norcx_m2m4 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443488K) : norcx_m2m5 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443616K) : norcx_m2tm1 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443616K) : norcx_m2tm2 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443616K) : norcx_m3m4 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443744K) : norcx_m3m5 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443744K) : norcx_m3tm1 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443744K) : norcx_m3tm2 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443872K) : norcx_m4m5 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (443872K) : norcx_m4tm1 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444000K) : norcx_m4tm2 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444000K) : norcx_m5tm1 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444000K) : norcx_m5tm2 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444128K) : norcx_tm1tm2 has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444128K) : norcx_m1sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444256K) : norcx_m2sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444256K) : norcx_m3sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444256K) : norcx_m4sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444384K) : norcx_m5sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444384K) : norcx_tm1sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444512K) : norcx_tm2sub has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444512K) : snsbotvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444640K) : snstopvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444640K) : deepvia_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444640K) : fgetch_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : ctrgat_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : fgimp_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : emwihv_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : lbe_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : alcustop_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : nometfiller_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : prboundary_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange0_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange0_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange0_text has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange1_drw has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange1_pin has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange1_text has 0 polygons
2026-03-28 22:48:11 +0100: Memory Usage (444768K) : exchange2_drw has 0 polygons
