2026-03-28 21:41:07 +0000: Memory Usage (436172K) : devtrench_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436172K) : redist_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436300K) : graphbot_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphtop_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : antvia1_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : antmetal2_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphcont_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : siwg_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : siwg_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : siwg_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : sigrating_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : singrating_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphpas_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : emwind3_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : emwihv3_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : redbulay_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : smos_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphpad_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : polimide_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : polimide_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_esd has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_diode has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_tsv has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_pillar has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_sbump has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_otp has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_pdiode has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_mom has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : recog_pcm has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : colopen_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmetal1_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmetal1_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmetal1_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmetal1_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmetal1_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmet1l_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmet1l_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmet1l_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmet1l_slit has 0 polygons
